,day,max_temp,min_temp,sky,precipitation,wind
0,Сьогодні ввечері,--,9°,Зливові дощі,68%,Пн-Зх 21 км/год
1,сб 16,11°,1°,Дощ,93%,Пн-Пн-Зх 24 км/год
2,нд 17,8°,0°,Дощ / сніг,63%,Пн 18 км/год
3,пн 18,9°,1°,Дощ / сніг,42%,Пн 15 км/год
4,вт 19,7°,3°,Дощ / сніг,85%,Пн-Зх 17 км/год
5,ср 20,12°,5°,Невеликий дощ,81%,Пн-Зх 17 км/год
6,чт 21,15°,6°,Зливові дощі,72%,Пн-Пн-Зх 10 км/год
7,пт 22,16°,9°,Зливові дощі,38%,Сх-Пд-Сх 17 км/год
8,сб 23,17°,9°,Зливові дощі,54%,Сх-Пд-Сх 16 км/год
9,нд 24,18°,8°,Мінлива хмарність,24%,Сх 16 км/год
10,пн 25,17°,8°,Зливові дощі,36%,Сх 16 км/год
11,вт 26,17°,8°,Зливові дощі,38%,Сх 15 км/год
12,ср 27,17°,8°,Уранішній зливовий дощ,30%,Сх 14 км/год
13,чт 28,17°,8°,Мінлива хмарність,24%,Пн-Сх 15 км/год
14,пт 29,16°,8°,Зливові дощі,37%,Сх-Пн-Сх 15 км/год
